model,accuracy,f1,precision,recall,silhouette,purity
Logistic Regression,0.9567262361882795,0.9497998897429963,0.9581416208406756,0.9567262361882793,,
Random Forest,0.9991746446462587,0.9989388688553208,0.9991803558345598,0.9991746446462587,,
K-Means (k=4),,,,,0.863013486057643,0.8561285367980038
