k,silhouette,wssse
3,0.844846249244187,8653856.17521908
4,0.8636211689977663,7139295.469213688
5,0.8290570791354359,6381026.863442457
6,0.8307280391256772,5086491.157279585
7,0.8587309364954758,4441364.508741374
8,0.8265898465228464,4277790.234401942
